sample_SRR10767134	sample_SRR10767128	sample_SRR10767131	sample_SRR10767125	sample_SRR10767121	sample_SRR10767118	sample_SRR10767115
ENSOARG00020000332	119.08451367443	118.95887	116.901210001862	137.57358	115.57616	124.044433	114.731472
ENSOARG00020000333	39.7447	34.3318	14.0939	37.1644	37.9516	37.9197	37.0646
ENSOARG00020000334	0.288786	0.258865	0	0.199805	0.292933	0.121245	0.249177
ENSOARG00020000336	0	0	0	0	0	0	0
ENSOARG00020000337	131.496	100.017	150.341	128.402	88.7563	102.38	99.4902
ENSOARG00020000338	241.23968	245.85235	78.68272	225.8163	233.10419	221.12404	204.55341
ENSOARG00020000339	68.4598	49.1694	16.2357	40.7988	54.4208	48.0399	54.1476
ENSOARG00020000341	51.7586	59.8718	44.3796	63.0522	48.0947	49.7102	52.8658
ENSOARG00020000342	2.66541	2.92238	1.09739	1.96367	3.41906	4.32475	2.35314
ENSOARG00020000343	20.6496	25.7412	9.00071	26.0729	18.2053	15.9352	16.6071
ENSOARG00020000344	12.3456	17.1746	6.10197	6.74861	14.5102	15.0221	23.3457
ENSOARG00020000346	0.0588238	0.132357	0	0.773307	0.672132	0.688948	0.190123
ENSOARG00020000347	0	0	0	0	0	0	0
ENSOARG00020000348	131.6652	135.45605	64.94659	128.28351	123.55856	125.430026	124.98487
ENSOARG00020000351	3.43974	6.38611	0	5.51935	3.62569	5.08598	5.86737
ENSOARG00020000352	0	0	0	0	0	0	0.481702
ENSOARG00020000353	162.636	161.918	231.6	155.506	166.671	173.365	173.419
ENSOARG00020000354	151.12	143.395	18.9384	135.744	152.194	160.2	159.082
ENSOARG00020000355	0	0	0	0	0	0	0
ENSOARG00020000356	2.06194	2.10532	2.66496	3.53808	1.73931	1.99119	1.56203
ENSOARG00020000357	0	0	0	0.309311	0	0	0
ENSOARG00020000358	8.62661	7.54372	0	6.17862	7.68158	7.12348	8.58555
ENSOARG00020000359	35.1129	36.8156	24.9071	37.3425	37.1032	35.4319	33.8148
ENSOARG00020000360	82.6906	56.1634	26.1772	51.1715	63.9193	31.4917	40.9028
ENSOARG00020000362	79.976801	98.3475	64.70154	110.7053	96.193385	101.6146	97.9462
ENSOARG00020000363	0.9080409	1.5116551	0.2790563	1.446949	0.6659641	1.044311	1.193505
ENSOARG00020000364	16.04034	15.96946	10.32771	16.12016	14.97986	14.19097	17.14268
ENSOARG00020000365	37.5575	25.6053	9.03995	30.9602	30.69	41.2287	35.171
ENSOARG00020000368	5.53427	4.95663	11.3377	5.80859	5.43177	4.84563	5.24968
ENSOARG00020000369	31.33987	26.4631	6.362078	33.31913	29.534892	33.5772	26.86025
ENSOARG00020000370	12.626510384184	13.33814	4.76767	10.48919	8.406382	9.94532	7.50198
ENSOARG00020000371	0.881831	1.87783	1.19359	3.96963	2.12222	1.70972	1.72964
ENSOARG00020000372	0	0	0	0	0	0.432806	0.395568
ENSOARG00020000373	0	0	0	0	0	0	1.05202
ENSOARG00020000374	119.679	99.9701	87.0295	101.629	103.784	115.603	109.797
ENSOARG00020000375	33.6638	26.3297	13.6077	31.0721	31.1299	31.9201	33.9915
ENSOARG00020000376	7.62947	10.6722	0.442672	10.8391	9.31643	8.01513	8.07619
ENSOARG00020000377	4.99868	5.6103	2.70921	5.72758	5.06284	4.21435	3.88068
ENSOARG00020000378	125.26405	149.17442	36.16416	120.80746	127.3589	107.23371	142.51186
ENSOARG00020000379	0.11362	0.092464	0	0.100347	0	0	0
ENSOARG00020000380	24.0947	28.1717	16.8547	28.9672	25.8059	27.3615	19.4196
ENSOARG00020000381	0	0	0	0	0	0	0
ENSOARG00020000382	0.578711	0.338807	48.0207	0.684732	0.314867	0.326278	0.245812
ENSOARG00020000383	0	0	0	0	0	1.03969	1.95227
ENSOARG00020000384	99.840144	89.69103	60.40107	92.04922	95.391204	90.98257	102.04406
ENSOARG00020000385	24.507	20.8863	31.0897	23.3246	16.691	17.6932	21.1359
ENSOARG00020000386	0	0	0	0	0	0	0
ENSOARG00020000387	13.29873	11.65003	4.31258	11.94343	12.78144	10.55994	9.28695
ENSOARG00020000389	1.2856	1.42673	1.18443	3.32854	1.30421	0	3.88539
ENSOARG00020000390	54.4809	57.04	28.9216	60.3078	54.3024	49.0133	46.1846
ENSOARG00020000391	19.9084	21.7122	18.4704	22.9689	23.9368	23.8005	23.6893
ENSOARG00020000393	64.6168	58.9338	34.104	63.0329	62.4413	63.1333	67.9373
ENSOARG00020000394	0.628156	0	0.640919	3.50451	0	1.72058	5.97664
ENSOARG00020000395	0.298195	0.333382	0.100609	0.330337	0.221226	0.149926	0.413974
ENSOARG00020000396	1.71562	1.76941	0	0	0	0	0
ENSOARG00020000397	206.97778	210.8518	171.8328	228.865655	163.2328	175.0652	179.6731
ENSOARG00020000398	2.73246	3.21397	0	5.95458	3.74856	2.88263	4.15244
ENSOARG00020000399	293.32534	279.89404	35.539683	259.2888	277.07733	283.80191	273.28086
ENSOARG00020000400	60.7769	52.1811	9.851726	52.394	63.3252	66.52692	89.871475
ENSOARG00020000401	238.085	224.04	207.928	203.165	225.249	246.951	296.384
ENSOARG00020000402	0.00915536	0	0	0	0	0	0
ENSOARG00020000403	9.11855	3.57148	1.83028	7.01143	7.25993	5.15754	4.60486
ENSOARG00020000404	0.950139	0.761228	0.199422	0.691827	0.594225	0.635128	0.498341
ENSOARG00020000405	51.5373	45.2155	67.0854	41.7811	53.7031	52.4973	50.012
ENSOARG00020000406	0	2.58517	3.26793	6.03545	7.16033	0	7.09133
ENSOARG00020000407	2.31115	6.23159	3.16385	5.83117	4.61413	13.3705	6.8921
ENSOARG00020000408	0.0952087	0.210663	0.109091	0.122042	0.195425	0.220277	0.101226
ENSOARG00020000409	9.56012	12.4389	0.117299	10.2241	11.6626	6.22995	9.71225
ENSOARG00020000411	0	0	0	0	0.112592	0	0
ENSOARG00020000412	37.15863	36.021	23.29209	39.08984	37.53008	39.7083	37.7762
ENSOARG00020000413	0.250348	0.241158	0.192783	0.371184	0.280188	0.295725	0.175085
ENSOARG00020000414	21.7276	18.3846	6.41032	18.9276	20.3525	18.8429	19.5115
ENSOARG00020000415	156.153	154.294	60.2365	131.109	173.673	155.685	165.222
ENSOARG00020000416	67.76292	69.47271	46.58841	72.84967	67.48242	70.08285	65.26712
ENSOARG00020000417	0.070289	0.131714	0	0	0.142203	0.159208	0.0635078
ENSOARG00020000418	10.0267	11.659398	4.97537	11.72	10.3837	10.372	10.798
ENSOARG00020000419	395.086	492.672	465.562	478.004	405.091	420.817	394.078
ENSOARG00020000420	0.267135	0.149268	0	0.0575246	0.231111	0.156611	0.0960913
ENSOARG00020000421	0.923843	0.870881	2.29528	1.71825	1.09681	0.945248	1.04752
ENSOARG00020000423	111.208	90.4216	16.7447	97.6996	116.674	95.5459	104.281
ENSOARG00020000424	31.3054	23.3223	38.2698	23.3404	27.1933	33.3743	24.1839
ENSOARG00020000425	27.06745285021	24.3761700005585	22.60787	27.0287600150221	25.9413300695625	27.11632304	27.428868
ENSOARG00020000426	13.762	9.30455	8.01048	11.9848	12.9583	10.6906	16.9899
ENSOARG00020000427	0	0	0	0	0	0	0
ENSOARG00020000429	0	0	0	0	0	0	0
ENSOARG00020000430	67.52846	68.71849	20.953628	73.668251	66.486661	62.887906	57.405928
ENSOARG00020000431	12.61285	9.32808	1.507512	11.60873	11.53491	11.03878	9.35949
