sample_SRR6798308	sample_SRR6798310	sample_SRR6798312	sample_SRR6798314	sample_SRR6798316	sample_SRR6798318
ENSBTAG00000000290	3.819964	3.3856807	4.340906	3.100168	3.59096	4.0960559
ENSBTAG00000000291	7.797151	6.65084	10.02915	8.172108	8.138415	10.460879
ENSBTAG00000000292	5.14507	3.76152	6.53407	7.18257	6.1112	6.11935
ENSBTAG00000000295	18.253596	12.5317	17.02853	14.45578	16.304728	17.898862
ENSBTAG00000000296	15.32898	24.90065	20.45593	41.50636	22.70012	28.77594
ENSBTAG00000000297	12.9957	11.5838	10.6258	10.3783	11.5325	16.0402
ENSBTAG00000000300	0.789023	0.914952	0.770638	0.382062	0.934552	0.384257
ENSBTAG00000000301	0.172177	0.116373	0.152565	0.144452	0.213563	0.47492
ENSBTAG00000000305	70.9796	62.6631	61.1923	66.7059	77.881	80.0105
ENSBTAG00000000306	0.117262	0.0380271	0.0937509	0.0590226	0.0616488	0.128943
ENSBTAG00000000308	30.29307	29.127693	37.9271	26.035	29.6256	27.978
ENSBTAG00000000309	4.74713	3.084416	5.565705	4.01961	6.374508	4.02824
ENSBTAG00000000310	2.361726	0.437681	1.149756	1.249755	0.816775	3.540914
ENSBTAG00000000312	140.666996	144.572261	148.86385	179.330157	180.475174	120.378142
ENSBTAG00000000313	8.12276	6.46462	10.6374	7.28624	8.80803	8.98786
ENSBTAG00000000315	14.3861	14.0573	13.3747	13.9552	14.4295	20.0098
ENSBTAG00000000317	83.481	101.7039	148.5977	188.3578	140.067	101.7013
ENSBTAG00000000320	30.590528	28.70652	29.772525	25.628698	32.170845	34.657927
ENSBTAG00000000321	7.49026	6.77784	8.67135	8.19103	8.6021	7.63503
ENSBTAG00000000322	6.403297	5.037391	5.4769857	5.219755	5.8581126	10.679805
ENSBTAG00000000326	0.0590345	0	0	0	0	0
ENSBTAG00000000328	5.15379	1.25531	2.46657	2.50831	2.26842	4.15365
ENSBTAG00000000329	31.78608	28.86422	27.77665	30.20066	32.24405	42.50375
ENSBTAG00000000330	6.4155615	6.349838	8.79615	9.878815	7.31813	20.447099
ENSBTAG00000000332	9.47384	11.9326	32.2415	46.2412	23.8936	24.3377
ENSBTAG00000000333	3.1129109	2.75455	3.3947828	2.26542	2.95496	2.23208
ENSBTAG00000000335	0.0869525	0	0	0	0.183716	0
ENSBTAG00000000336	0.142489	0.205175	0.0328703	0	0.179976	0
ENSBTAG00000000340	18.9585	16.3704	17.4354	15.275	19.0868	18.5503
ENSBTAG00000000341	48.8629	43.009	57.3253	44.1954	53.714	55.2881
ENSBTAG00000000342	19.830135	21.500854	27.11289	31.49704	28.34004	20.23503
ENSBTAG00000000343	96.0229	97.4975	85.7756	104.9005	99.8688	105.5006
ENSBTAG00000000344	0	0.0602165	0	0	0	0
ENSBTAG00000000345	2.16085	1.3562	2.07386	2.2577	2.36208	1.05215
ENSBTAG00000000347	60.6626	60.1845	77.0077	101.026	91.0124	61.6493
ENSBTAG00000000354	1.37217	3.87789	4.26442	6.09806	2.69256	4.27933
ENSBTAG00000000355	8.12753	10.3355	8.22204	10.3207	8.98323	9.30519
ENSBTAG00000000356	17.2431	10.7541	12.8141	14.0882	16.4922	16.4242
ENSBTAG00000000357	5.446381	9.041997	16.51189	20.456163	13.799375	12.905788
ENSBTAG00000000359	90.188	83.1431	82.1221	72.892894	89.1206	90.2793
ENSBTAG00000000362	5.872396	4.5369977	5.9794809	5.32799654168	6.0499565327	5.7475916
ENSBTAG00000000363	5.05909	3.9467	3.97677	3.99261	4.7691	3.94513
ENSBTAG00000000365	13.6054	13.3383	12.5332	9.84023	12.0693	13.9189
ENSBTAG00000000368	0	0	0	0	0	0
ENSBTAG00000000369	30.71365	33.043933	28.86226	24.354052	28.74185	26.69181
ENSBTAG00000000371	28.6408	25.132	26.1118	20.4719	27.5655	25.761
ENSBTAG00000000372	7.141075	7.402353	7.799836	7.09261	7.302385	10.0956
ENSBTAG00000000374	4.92861	2.40274	2.480144	2.223376	3.94094	2.235125
ENSBTAG00000000375	41.32821	46.62726	51.64846	49.191466	50.00912	49.8248
ENSBTAG00000000376	0	0	0	0	0	0.0946367
ENSBTAG00000000377	0.224811	0.200541	0.0475739	0.113163	0.354811	0.206446
ENSBTAG00000000379	19.737869	23.49146	18.120134	15.43786	19.34138	16.06627
ENSBTAG00000000381	0	0.0917058	0.119895	0	0.119136	0
ENSBTAG00000000382	18.3044	18.8841	23.3043	25.0023	23.2236	19.791
ENSBTAG00000000385	18.3315	17.66723	19.16782	19.48209	18.85948	24.0164
ENSBTAG00000000387	41.3435	48.3848	57.0112	64.5018	54.0285	42.6481
ENSBTAG00000000389	5.54608	5.07352	5.85014	6.5713	7.35052	8.11772
ENSBTAG00000000390	25.8458	15.6994	12.8387	18.8539	20.9783	26.1736
ENSBTAG00000000392	15.0401	13.941	16.5708	14.8609	25.5221	32.1161
ENSBTAG00000000393	8.70376	6.99171	7.94036	9.94049	10.5384	12.6179
ENSBTAG00000000394	2.82635	2.85989	3.24807	2.79125	3.00297	4.75017
ENSBTAG00000000395	0.616668	0.526184	1.433471	0.428596	0.69467	0.414892
ENSBTAG00000000396	3.54964	4.08398	5.15197	3.95676	4.10096	3.84934
ENSBTAG00000000397	4.508297	0.117114	0.3076627	1.7532298	1.9882287	1.1268583
ENSBTAG00000000399	2.41936	1.90061	1.6593	2.12176	1.89522	1.73908
ENSBTAG00000000400	0	0	0	0.0437358	0.0400382	0.0398883
ENSBTAG00000000401	0.837563	3.88295	0.802989	1.16453	1.47037	4.63087
ENSBTAG00000000404	35.1353	45.6513	38.5765	47.4696	46.9479	45.0724
ENSBTAG00000000405	10.598	10.4752	7.62713	11.5963	10.2888	18.5077
ENSBTAG00000000406	22.4495949	26.3024574	21.992589	19.8419239	23.354517	19.7148
ENSBTAG00000000409	8.73628	7.417677	8.034699	6.95932	9.436852	10.12
ENSBTAG00000000410	0	0	0.110402	0	0	0
ENSBTAG00000000411	35.058896	33.8557284	41.5947	47.1395	45.443027	37.688016
ENSBTAG00000000413	1.48449	2.23764	2.17792	6.12179	3.80471	2.75283
ENSBTAG00000000414	0	0	0	0	0	0
ENSBTAG00000000415	24.136235	15.7693792	21.371647	17.908807	18.14041	21.605315
ENSBTAG00000000417	57.8131	65.694	56.84	60.6175	63.9493	50.7552
ENSBTAG00000000418	1.8903652	4.3979300721084	2.36932	1.95339	3.612481523	2.19401
ENSBTAG00000000419	0	0	0	0	0	0
ENSBTAG00000000421	9.33948600024308	6.34693	8.4271077	5.47363000278273	6.66810164	7.030422
ENSBTAG00000000422	5.66215	4.97378	7.91705	7.97046	6.5724	6.95844
