sample_SRR5570209	sample_SRR5570210	sample_SRR5570211	sample_SRR5570212	sample_SRR5570213	sample_SRR5570214	sample_SRR5570215	sample_SRR5570216
ENSPANG00000000525	2.4732027	13.374832017	4.02366	1.9626138528	6.0489189776	13.027316	3.23104	13.871704
ENSPANG00000000526	0	0.877107	1.73224	0	0	1.16362	0	0.233916
ENSPANG00000000529	0.257959	0	0	0	0	0.531334	0	0.213622
ENSPANG00000000532	0.216780549	3.90424	1.26846	0	1.10959	4.19726	0.427406931	2.90824
ENSPANG00000000533	3.39713	11.5255	4.86106	2.8686901	5.75009	14.3833	2.72875	11.930589
ENSPANG00000000534	0.0888256	1.241193	0.109218837	0.44579	0.162377	0.366844963	0.35026	0.662025
ENSPANG00000000535	0	0	0	0	0	0	0	0
ENSPANG00000000536	1.274279	2.971681	1.656924	2.13174	1.062449	4.25347	2.512394	3.12262
ENSPANG00000000540	17.0224	13.0492	37.7112	0.53394	22.7547	12.71	13.8442	40.0872
ENSPANG00000000541	0.439977	0.956347	0.107928	0	0.160859	0	0.173493	0.218613
ENSPANG00000000542	0	0	0	0	0	0	0.460259	0
ENSPANG00000000543	0	0	0	0	0	0	0	0
ENSPANG00000000544	5.70454	26.1373	6.90984	0.893453	17.7316000580262	36.2258	8.500474	23.9125
ENSPANG00000000545	35.5585	37.1864	22.9233	25.84496	41.4131	53.9866	30.59546	35.8953
ENSPANG00000000546	1.2523043721	6.3237451534	1.1093168168	0	2.797995551	6.25654	1.234532858	7.774959955
ENSPANG00000000548	1.91502	7.79152	2.01325	0.343247	2.56303	6.6211	1.13561	6.96649
ENSPANG00000000555	1.533215	6.62376	1.33381	2.36762	1.75857	6.03062	1.395192	3.38811
ENSPANG00000000556	0.1335534	0.414708	0.32761	0	0.488282	1.100352	0.263316	1.65898
ENSPANG00000000557	0	0.580865	0	0	0	0	0.368817	0.154911
ENSPANG00000000558	0.484615	0.374801	0	0	0.579627	0	0	0.372832
ENSPANG00000000559	10.24852	15.5853	26.76295	9.08447	39.73996	36.45134	17.9888	19.28034
ENSPANG00000000560	0	0	0	0	0	0	0	0
ENSPANG00000000561	0	0	0	0	0.443225	0	0	0
ENSPANG00000000563	6.200461	9.19892	7.94294	1.38304	14.35726	23.84006	4.34664	19.74023
ENSPANG00000000564	0	0	0	0	0.110411	0	0	0.300106
ENSPANG00000000566	12.2811	36.055	23.5529	11.2064	28.7772	32.1951	14.5282	30.5107
ENSPANG00000000567	3.36435	20.0233	8.0809	3.51765	13.45345	24.54293	3.3166	23.1013
ENSPANG00000000568	550.312	288.907	490.8	440.206	324.082	321.017	392.77	334.253
ENSPANG00000000569	2.84108	18.25607	9.07709	2.77848	10.25488	14.84167	2.93112	15.898987
ENSPANG00000000570	1.52782	6.26908	1.60619	0	3.89014	3.14695	1.29098	9.57955
ENSPANG00000000571	0	0.735006	0.193546	0	0.144234	0.325034	0	0
ENSPANG00000000575	48.720009	34.507204	43.717272	34.6926	42.38558	46.347781	41.87634	43.193185
ENSPANG00000000576	5.02853899	9.8366128	6.86541106	7.0230107	7.68840677	9.007531	8.12549459	8.48136
ENSPANG00000000577	0	0	0	0	0	0	0.271334	0.0569831
ENSPANG00000000578	0.3220339	1.090291	0.870953	0.532219	0.369046	0.399169	0.874286	0.702562
ENSPANG00000000582	0.960222	0.496944	0.588862	0.803179	0.438831	0.659276	0.315531	0.39759
ENSPANG00000000583	0.956037	12.5494	1.17259	1.30856	4.92526	13.2474	2.01597	8.01214
ENSPANG00000000584	1.4134	7.38126	2.20634	2.57943	3.40585	6.88116	0.253334	5.74592
ENSPANG00000000585	0	0	0	0	0	0	0	0
ENSPANG00000000587	0.156708	0.243303	0	0	0	0.16139	0	0
ENSPANG00000000588	0	0	0	0	0	0	0	0
ENSPANG00000000591	4.80484	4.16032	4.14591	0	4.132	6.51686	5.54927	9.27726
ENSPANG00000000592	2.8106	5.23646	5.8603	0	7.19304	5.78917	5.54142	7.91356
ENSPANG00000000593	4.00925	6.50607	5.53552	14.8028	2.65276	10.8356	4.88949	3.98765
ENSPANG00000000594	10.392592	22.34141	16.01506	8.6929	14.85751	18.93631	13.3974	19.01756
ENSPANG00000000595	0	0	1.16347	0	0	0	0	0.859523
ENSPANG00000000596	9.20213	13.99639	7.65521	15.08098	10.0931	11.7022	8.67712	8.68072
ENSPANG00000000597	1.09213	6.16595	0.949171	0.498282	3.05371	4.38351	1.14434	5.015416
ENSPANG00000000599	2.30598	0.873364	1.47315	0.806607	0.991392	1.15866	2.21815	9.23513
ENSPANG00000000605	1.17471326436	5.86744005142021	2.46129047608	1.4737752636	4.11580867124	6.686395032	1.93000418235	4.661371
ENSPANG00000000607	0.750144	1.15296	0.553537	0	1.08974	0	0	0.930271
ENSPANG00000000608	0.19739	2.81949	0.629464	0.396258	0.902092	5.77339	0.622684	1.89617
ENSPANG00000000610	0.707736	17.28955	1.96757	1.18397	2.463269	16.4436	2.2056	11.83816
ENSPANG00000000611	1299.69	1136.26	1892.19	3222.99	1160	499.348	1949.92	533.71
ENSPANG00000000613	1.26168	2.4747	0.614671	0	2.79471	2.67715	0	1.9391
ENSPANG00000000614	751.381	449.617749	827.281	386.996	509.896	245.565	885.988	334.517
ENSPANG00000000615	60.377	100.593	76.6515	23.0362	88.5876	115.635	52.9067	103.786
ENSPANG00000000616	2.66735	8.11725	3.90082	0	4.38041	7.46634	2.83176	7.24969
ENSPANG00000000617	12.2898000010275	9.785170034691	8.08143000406486	2.4441600169089	10.9189000029153	15.8729	9.20658000658363	12.194
ENSPANG00000000618	18.5259199415	19.23152	17.9957560611	41.748314186	28.10936	21.33476	30.43157	18.57938
ENSPANG00000000619	0.668557	1.211	0.819994	0.559216	0.916611	1.68336	1.31814	1.93776
ENSPANG00000000620	18.1891	30.8981	19.947	1.07395	46.3548	22.9198	18.5638	19.3158
ENSPANG00000000622	0.125882	0.846922	0.154396	1.05294	0.53694	0.950719	0.165461	1.2857
ENSPANG00000000623	31.8679	20.9906	29.0187	37.5606	21.6252	18.3992	24.2757	16.1942
ENSPANG00000000624	21.5405	56.39482	22.21879	4.07946	46.63248	57.84036	15.17824	55.51618
ENSPANG00000000625	1.64834	1.86123	0.899863	0	1.09572	3.777992	1.18178	1.98549
ENSPANG00000000626	0	0	0	0	0	0	0	0
ENSPANG00000000627	1.44348	5.38658092	1.921739391	3.182834568	2.62555	5.37883491	1.765249177	3.954370056
ENSPANG00000000630	4.7324	19.74637	10.88316	7.42205	10.27308	12.79375	9.91363	18.86021
ENSPANG00000000631	0.777428	0.804685	0.74163	0	0.710584	1.77924	0.34062	1.50221
ENSPANG00000000632	1.94451	10.646	2.38496	2.05451	5.79967	14.1237	1.81602	7.71244
ENSPANG00000000633	34.3293	50.5856	21.1813	221.414	92.088	55.8769	65.0651	15.2856
ENSPANG00000000634	3.48683	0.673075	2.15295	0	3.93925	0	1.71629	1.77288
ENSPANG00000000635	0	0.264189	0	0	0	0.700977	0	0.422739
ENSPANG00000000636	43.9391	42.9807	33.3616	8.07756	43.8389	53.7056	24.7517	70.6412
ENSPANG00000000639	27.6927	58.9037	25.4741	8.33889	58.9761	34.2242	34.9436	54.1217
ENSPANG00000000640	2.35388	4.99464	3.56071	0.393781	3.72925	4.20197	3.40336	4.74329
ENSPANG00000000641	2.26404	17.9104	4.09919	3.24644	9.85415	25.7596	3.18843	18.8382
ENSPANG00000000642	0	10.2187	0	2.75264	1.00264	2.25946	0	0.454205
ENSPANG00000000644	22.3020488	58.563041216	43.35049932989	25.063513403	51.0647957658	54.15785869	29.74760335	53.2436003684493
ENSPANG00000000645	0.174361	0	0.213856	0	1.91244	0.718285	0	1.29953
ENSPANG00000000646	10.720529	26.50727	20.29972841751	17.6792	11.32887	33.8463702735	12.14230189421	28.14577
ENSPANG00000000647	37.6043	76.6796	46.3347	11.3061	74.6026	86.3793	33.8248	92.5617
