sample_ERR2928440	sample_ERR2928435	sample_ERR2928431	sample_ERR2928429	sample_ERR2928424	sample_ERR2928423	sample_ERR2928419	sample_ERR2928417
ENSFDAG00000000245	19.7938	5.51011	13.5401	6.42469	6.12261	12.6366	10.1796	5.26745
ENSFDAG00000000246	0	0	0	0	0	0	0	0
ENSFDAG00000000247	43.0135	48.7883	45.980628	57.708	50.9391	53.1586	44.3635	58.6144
ENSFDAG00000000248	101.91	129.591	111.859	144.903	143.596	150.056	108.102	159.065
ENSFDAG00000000250	35.1288	44.2948	42.4509	49.0655	41.4008	46.0497	40.3766	51.5496
ENSFDAG00000000252	72.81	95.6912	76.66	86.6988	90.9125	89.717	89.0912	95.4583
ENSFDAG00000000255	247.679	244.445	308.217	326.173	333.475	317.253	275.209	335.404
ENSFDAG00000000259	36.6894	25.0254	34.6687	39.5541	57.4861	53.311	60.5241	45.8503
ENSFDAG00000000260	3.33266	5.3205	4.22115	2.95432	3.07591	3.18895	3.36528	3.17317
ENSFDAG00000000265	0	0	0	0	0	0	0	0.312612
ENSFDAG00000000267	82.4797	48.47621	45.4201	39.04872	45.1926	53.67616	49.3172	45.09791
ENSFDAG00000000269	7.68545	5.97084	8.86438	1.62856	0.775126	1.56258	3.36134	3.00994
ENSFDAG00000000270	0	0	0	0	0	0	0	0
ENSFDAG00000000272	0	0.819271	3.54063	1.88738	0.577783	0.529887	2.31411	1.2729
ENSFDAG00000000273	15.574	16.7197	16.5246	18.1538	18.1291	20.5181	13.0145	18.1294
ENSFDAG00000000280	45.4346	48.0053	53.2095	61.924	62.2202	59.3705	52.0113	60.9244
ENSFDAG00000000281	6.237	11.3249	4.8807	6.87795	4.07383	5.42608	3.78431	3.93998
ENSFDAG00000000282	47.4678	43.4272	49.0139	55.7324	44.4094	46.09	41.9585	59.0716
ENSFDAG00000000283	0	0	0	0	0	0	0	0
ENSFDAG00000000284	75.4592	60.1397	56.9053	46.4958	64.3675	67.078	64.3286	40.7091
ENSFDAG00000000286	12.4229	9.69552	15.1872	14.5397	13.6466	15.1567	15.6073	14.3867
