sample_SRR8750789	sample_SRR8750790	sample_SRR8750791	sample_SRR8750792
ENSG00000009830	16.22276817305	13.7547915213746	27.6963084830671	20.121777768
ENSG00000009844	17.434806	15.778711	28.348083	18.21745
ENSG00000009950	15.361008	13.23137426566	9.4526088	14.847911
ENSG00000009954	27.348399	23.22844	28.372066	22.05424
ENSG00000010017	28.2789	25.943	46.2594	23.69808
ENSG00000010030	0.78103	0.6518150134311	0.9019988	1.472275
ENSG00000010072	3.40094	3.4300188	5.309513	3.713754
ENSG00000010165	16.7713216	10.29168432347	18.205498	15.281444879
ENSG00000010219	37.616103	43.625765	57.528158	39.5941372
ENSG00000010244	34.819345	41.3420321	65.9885435	42.85374
ENSG00000010256	240.3793004	115.863704	106.64474	168.287453
ENSG00000010270	41.196288	54.490834	61.133823	40.07782
ENSG00000010278	112.23871696795	33.651494864	174.545352569579	263.186744530063
ENSG00000010282	258.5178863	33.911372	77.6317466	212.854743
ENSG00000010292	8.228563	5.5896514	15.727251	12.6256841
ENSG00000010295	22.239725055	13.1701680001041	21.150367	19.578243001491
ENSG00000010310	3.569119	3.169816	7.540674	7.6303158
ENSG00000010318	5.387842	5.3614664	7.3263896	7.89939004
ENSG00000010319	2.6243175	2.3717243	4.0689967	2.03334
ENSG00000010322	68.327023	59.905953	70.390584857	51.2893636287
ENSG00000010327	14.7620807	11.493253	52.9467496	26.8575384
ENSG00000010361	58.767804	34.542384	73.30169	58.352045
ENSG00000010379	6.253333	2.2977707	10.570617	16.373965
ENSG00000010404	105.788392	111.680884	91.585095	79.060175
ENSG00000010438	29.818736	19.294767	3.70048	13.6827153
ENSG00000010539	3.144384	3.2339391	3.736893	5.009396
ENSG00000010610	8.4518147	4.7511643	26.466351	14.55938
ENSG00000010626	35.405475	30.056625	77.42361	22.158531
ENSG00000010671	3.888666	3.8102	11.0863648	8.25389520907
ENSG00000010704	1.4133737	0.7773089	3.986665	1.979678
ENSG00000010803	11.3637245	16.792959	20.8453250032366	11.9755253
ENSG00000010810	127.124507500408	105.9831826183	341.060613	146.142783
ENSG00000010818	5.407642	4.571937	9.53981	6.1115648
ENSG00000010932	0.094893692	0.10637	1.0210569132663	1.0333712
ENSG00000011007	7.611391	7.604446	11.24270624487	7.9837
ENSG00000011009	47.726477	38.068461	47.625346	33.983574
ENSG00000011021	23.843499	25.7464587	27.359539	18.9624612
ENSG00000011028	8.2876495	5.67291	27.576271	13.211193
ENSG00000011052	12.0754	5.23569	8.75435	10.779191
ENSG00000011083	7.116502	5.5892742	0.455207	3.057878
ENSG00000011105	7.5882407	4.8051919	7.275797	11.6571734
ENSG00000011114	2.5788229	2.98487968	4.5640709	3.36195594735
ENSG00000011132	11.968296	10.970493	22.11207	13.665927
ENSG00000011143	12.670478485	15.96281	22.78555098	20.3109444313058
ENSG00000011198	6.6259178	5.0828317	11.8095995466	8.172076
ENSG00000011201	6.260151	5.4581098	14.875941	5.179947
ENSG00000011243	40.52753336549	36.627626927	65.9265212483655	41.21035403244
ENSG00000011258	2.690274	3.6655569	4.1108131	3.8509104
ENSG00000011260	20.062068	20.094006	24.672936	15.574245
ENSG00000011275	13.8017588	17.6044701	20.478979	15.745125
ENSG00000011295	28.686325	36.036004	21.434958	24.356024
