sample_SRR11526905	sample_SRR11526906	sample_SRR11526907	sample_SRR11526952	sample_SRR11526976	sample_SRR11526977	sample_SRR11526978	sample_SRR11527019
ENSSSCG00000000209	4.263791	12.81403100335	6.135145230296	7.504236	3.365636	3.334941	3.362664	4.91082900148207
ENSSSCG00000000211	1.78598	1.59421	0.199506	2.90049	1.53923	1.22264	0.686998	3.82366
ENSSSCG00000000212	0.444383	0.293024	0.40175	0.0897012	0.476672	0.350096	0.0882612	0.749534
ENSSSCG00000000214	67.32943	60.68613	28.80931	104.8463	84.24773	55.62276	50.03286	77.3802
ENSSSCG00000000215	19.139537	38.55249	22.25823	24.118914	11.17129	12.544445	12.630342	19.82127
ENSSSCG00000000216	12.89649	23.78712	6.740357	14.318922	11.3412	10.255792	11.238161	13.257002
ENSSSCG00000000217	6.65386	5.939615	8.141739	1.1668055642	3.74739	4.27499	4.07691	7.00233
ENSSSCG00000000220	2.75668	8.47905	5.69428	6.70144	4.11176	3.89989	3.78752	3.65103
ENSSSCG00000000223	18.365567	24.77514	30.7939	20.7243	20.049185	14.611658	17.189742	20.2482
ENSSSCG00000000228	17.85794	41.91441	20.174174	22.52940357546	24.45448	23.12927	26.96521	18.4816
ENSSSCG00000000231	0	0	0	0	0	0.147402	0	0
ENSSSCG00000000232	4.36895	10.88487	15.52078	11.81741	5.43068	8.42577	7.57246	9.16878
ENSSSCG00000000233	18.96533	36.8277	30.24695	30.88653	21.22216	20.44827	21.29606	24.18459
ENSSSCG00000000234	4.74067	8.77932	15.8333	8.34723	4.15549	6.86661	10.4949	8.34199
ENSSSCG00000000235	0	0	0.0892209	0	0	0	0	0
ENSSSCG00000000236	0.363787	0	0.089894	0	0	0.0612231	0.0619848	0
ENSSSCG00000000238	0	0	0.370923	0	0	0.250805	0	0
ENSSSCG00000000239	0	0	0	0.0975468	0	0.0784068	0	0.0957684
ENSSSCG00000000240	0.09729216	0.0959976	0.0347329	0.333935	0.051823	0.08122721377	0	0.0682011
ENSSSCG00000000241	0	0	0	0	0.0796634	0.132053	0	0
