sample_SRR1205288	sample_SRR1205289	sample_SRR1205290	sample_SRR1205291	sample_SRR1205292	sample_SRR1205293	sample_SRR1205294
ENSRNOG00000000528	3.24751	2.55266	2.71433	2.59453	2.55518	2.14299	2.58222
ENSRNOG00000000529	1.33225	2.29318	1.89681	2.16926	1.66574	1.2142	1.67544
ENSRNOG00000000531	7.96469	11.1438	12.523	9.22096	7.14267	8.95216	11.7373
ENSRNOG00000000532	56.96126	54.95165	53.215824	50.83545	49.91081	42.506396	45.038915
ENSRNOG00000000536	8.63687	4.7929	5.95732	4.91829	4.97605	3.26563	4.09233
ENSRNOG00000000540	24.6919	20.0353	20.488	18.6397	19.2143	12.6836	16.6701
ENSRNOG00000000541	166.306	164.375	153.37	177.449	174.462	177.199	180.314
ENSRNOG00000000542	0.290926	0.250977	0.492715	0.243724	0.0844418	0.260529	0.467885
ENSRNOG00000000543	0.0933112	0.195151	0.0915819	0.075349	0.121143	0.217809	0.215548
ENSRNOG00000000546	5.84875	5.49178	6.61897	5.45332	6.34149	6.26942	7.15539
ENSRNOG00000000547	217.693	196.674	206.905	176.741	186.881	134.186	156.112
ENSRNOG00000000549	108.568	102.844	112.795	108.923	104.081	105.867	96.9956
ENSRNOG00000000551	48.2133	54.8957	43.2968	50.9896	51.9504	56.8708	51.9718
ENSRNOG00000000552	2.46955	1.966848	1.81379	1.933108	2.731131	2.417301	2.398494
ENSRNOG00000000556	0	0	0	0	0	0	0
ENSRNOG00000000557	200.34248	177.15714	187.59206	203.90309	189.79617	192.9392	184.68944
ENSRNOG00000000559	5.9505	3.25744	1.90191	3.46039	1.07374	0.486993	2.03994
ENSRNOG00000000560	6.2078	6.0598694	7.1943	7.80261	6.86113	5.45086	7.14054
ENSRNOG00000000561	7.49904	7.82816	7.59224	9.28793	6.91511	7.50075	8.00447
ENSRNOG00000000562	0.69624	1.23173	1.02122	1.03673	0.679669	1.10046	1.14433
ENSRNOG00000000563	0.296989	0.451337	0.3732884	0.443111	0.4446904	0.486865	0.254893
ENSRNOG00000000564	0.614341	1.33514	0.902481	0.375576	2.57339	1.69744	0.911491
ENSRNOG00000000565	46.32649	42.8779	47.87276	42.57523	40.32118	39.49681	41.81247
ENSRNOG00000000566	86.0539	62.3833	63.7667	78.9207	61.1069	63.8743	66.3993
ENSRNOG00000000567	21.9777	24.6341	28.6441	21.5016	28.2186	22.1533	23.7899
ENSRNOG00000000568	14.3069	12.5167	14.1566	12.2609	12.9192	15.0629	14.49
ENSRNOG00000000569	29.8496	27.6666	26.9224	31.0476	28.2619	22.7829	27.3979
ENSRNOG00000000571	1206.22	1071.67	1098.98	1105.23	1060.93	1003.81	1023.55
ENSRNOG00000000572	4.5176	3.49359	4.1167	2.74409	3.41636	4.43491	3.52834
ENSRNOG00000000574	0.655307	0	0	0	0	0	0
ENSRNOG00000000576	20.2968	20.0328	21.3493	21.1147	19.027	23.1229	22.9128
ENSRNOG00000000579	44.9501	31.1153	39.9246	37.9342	36.2753	44.5285	33.2622
ENSRNOG00000000580	0.705298	1.39517	1.90021	0.863106	1.74188	1.0646	1.91986
ENSRNOG00000000581	17.12204	15.881439	17.415342	17.128524	16.296612	13.686597	16.284618
ENSRNOG00000000582	6.35247	6.87992	5.73066	6.59231	6.36521	4.24667	4.67746
ENSRNOG00000000583	10.0163	12.9628	13.1785	12.394	15.0541	11.2805	13.9764
ENSRNOG00000000585	88.938	85.5348	87.8811	87.1202	91.8878	85.6751	89.684
ENSRNOG00000000586	25.9354	23.3776	25.6655	21.0167	23.2057	23.109	21.9225
ENSRNOG00000000587	28.4962	24.5867	25.0441	26.9173	21.5367	27.1817	26.7856
ENSRNOG00000000588	0.993182	0.417193	0.576467	0.335179	0.920871	0.235413	0.7845608
ENSRNOG00000000589	1.10182	0.193179	0.958686	1.09642	0.568972	0.981956	1.46595
ENSRNOG00000000590	0.511803	0.859638	0.613042	0.769356	0.160148	0.911643	1.08293
ENSRNOG00000000593	13.28404	11.28811	12.00717	11.34075	11.96023	10.5246	11.04235
ENSRNOG00000000595	3.62046	2.33606	4.81583	2.7656	2.8315	2.89413	2.71467
ENSRNOG00000000596	52.68832	60.447995	63.69984	58.39585	58.06415	52.93977	57.5909
ENSRNOG00000000597	0.457576	0.313904	0.391923	0.682711	0.370082	0.470445	0.367988
ENSRNOG00000000598	5.63022	6.79579	6.95297	6.24955	7.00573	7.748	8.19437
ENSRNOG00000000599	3.64772	3.80483	4.0479	4.16147	3.36552	3.60948	3.61648
ENSRNOG00000000604	47.9258	44.3245	54.7717	49.5848	52.138	52.1463	45.7365
ENSRNOG00000000605	4.78619	4.24523	5.28162	4.30899	5.49911	5.1526	4.81174
ENSRNOG00000000606	3.88076	2.6898	3.43748	2.6567	3.77794	2.32611	2.74827
ENSRNOG00000000607	0	0.347297	0	0	0	0.221004	0.434106
ENSRNOG00000000609	16.0711	14.8362	14.9551	16.1777	16.5436	15.6832	13.7845
ENSRNOG00000000610	218.867	194.614	207.637	214.442	215.809	221.562	205.844
ENSRNOG00000000611	41.0062	44.6597	46.5423	45.9045	46.3485	48.1138	45.5036
ENSRNOG00000000613	33.2844	27.5065	28.7087	29.382	33.6248	29.6771	29.7711
ENSRNOG00000000614	2.276699	1.583139	2.174292	1.903638	1.427384	1.717669	1.807944
ENSRNOG00000000618	6.19896	5.53546	5.87687	5.14708	4.94569	4.73136	5.18506
ENSRNOG00000000620	0	0	0	0	0	0	0
ENSRNOG00000000622	645.733	584.695	627.184	651.164	619.536	702.573	642.976
ENSRNOG00000000630	0	0	0	0	0	0	0
ENSRNOG00000000632	1.07646	0.424926	0.131739	0.876828	0.661839	1.21519	0.798089
ENSRNOG00000000633	3.55488	4.00277	4.21159	3.92283	2.73372	2.95417	3.65714
ENSRNOG00000000634	16.2185	13.0871	12.6284	12.8047	15.3321	12.6888	12.0199
ENSRNOG00000000636	1.969955	2.116545	2.43115	1.817681	2.477562	1.720876	1.704383
ENSRNOG00000000638	32.3538	47.0374	35.5023	38.8955	37.1201	30.0003	39.2089
ENSRNOG00000000639	9.46268	12.7777	9.80189	8.82571	9.17615	6.74418	8.54146
