sample_SRR10334377	sample_SRR10334376	sample_SRR10334375	sample_SRR10334373	sample_SRR10334372	sample_SRR10334371	sample_SRR10334370
ENSMMUG00000000266	0.158721	0.358678	0	0.132666	0	0	0
ENSMMUG00000000268	45.9122380002868	38.9918211781253	44.550648	39.0237400649	37.5360265532	36.5331952	42.7900759167
ENSMMUG00000000270	0	0.20523	0.109037	0.298515	0.69418	0.342457	0.27373
ENSMMUG00000000271	0.882501	2.480663	1.814937	1.959314	0.75989	1.366376	1.238737
ENSMMUG00000000273	30.32182	29.515149	29.67162	28.47109	24.767072	22.33953	17.65497
ENSMMUG00000000275	61.80371	28.476053	59.310486	59.06635	51.29969	43.92658	41.663172
ENSMMUG00000000276	39.41045	32.43453	54.6864	59.67247	64.5226	55.3482	64.7116
ENSMMUG00000000277	29.8454	17.11803	21.48419	18.06544	23.19094	12.84604	15.2388
ENSMMUG00000000278	16.239277	18.325042	22.698668	24.2154340007951	19.123755	21.5279433818	28.479769
ENSMMUG00000000283	0.585193	0	0	0	0	0	0
ENSMMUG00000000284	24.19169	24.88897	28.48031	22.76025	27.2859	23.01099	20.16651
ENSMMUG00000000286	5.30671	2.28175	5.86239	8.83845	5.08656	3.39898	2.84759
ENSMMUG00000000288	0.32935	0.436498	0.461763	0.584378	0.240039	0.571005	0.110133
ENSMMUG00000000289	37.1322500025204	26.5473099	40.324399827908	26.16778049	31.567967	20.928653	24.433662
ENSMMUG00000000290	63.090295	45.349062	66.39222	65.274416	47.124722	95.586248	41.194616
ENSMMUG00000000291	20.3976	17.0725	15.5988	14.2861	24.0863	19.6512	11.9695
ENSMMUG00000000292	1.162316	1.658260132493	0.612728	1.339	1.0322	1.24078	1.445148
ENSMMUG00000000293	42.42649	24.603009	48.662753	39.01507	44.61604	26.13689	23.0141
ENSMMUG00000000296	11.4851	22.8211	17.6349	17.6228	8.99329	10.5404	15.6682
ENSMMUG00000000297	6.737659	10.918088	9.55628000060815	6.694677	6.63746	6.184727409	7.30444
ENSMMUG00000000300	0.272932	0.458227	0.779811	1.06848	0.128096	0.219018	0.326612
ENSMMUG00000000302	1.06483	0.327383	1.03563	1.00831	0.910868	0.358734	0.5979806
ENSMMUG00000000306	36.758298914438	37.0067356532	48.218920749533	43.58436254	41.556841023	32.152797637	36.1880516
ENSMMUG00000000307	8.92018	9.44149	10.89051	8.97388	9.245961	6.46888	7.75069
ENSMMUG00000000308	6.20696	2.48015	7.37189	6.09391	6.18413	2.39418	2.73751
ENSMMUG00000000311	0.977201	0	0	0.116231	0	0.108422	0.141724
ENSMMUG00000000312	45.60119	30.714752	52.51341	42.571394	50.845721	22.147566	30.792831
ENSMMUG00000000313	1.48209	2.50308	2.28794	3.63232	3.09915	2.21969	2.88359
ENSMMUG00000000314	7.66816000102484	5.69490600310423	6.21025100417707	6.520091	7.4864950395766	3.2078876267057	6.29090147
ENSMMUG00000000315	18.4289	8.83302	13.6293	13.8421	14.7128	7.60858	11.5935
ENSMMUG00000000316	12.324059	15.15487	23.7484	30.97717	15.72569	11.98838	10.192565
ENSMMUG00000000318	43.13925	57.019549	58.954471	42.61528	49.154164	60.65116	61.795614
ENSMMUG00000000319	16.2128	11.1525	14.9247	13.2515	14.4426	10.2854	11.2899
ENSMMUG00000000320	4.57307	4.68683	6.83052	7.29893	6.68942	6.90554	4.07224
ENSMMUG00000000321	45.45332	28.87901	41.027822	44.48295	45.397448658	30.946985598	33.1048370287244
ENSMMUG00000000322	40.89486	39.10862	43.13538	40.82691	43.80714	41.28009	41.22124
ENSMMUG00000000323	8.789905	9.47495	12.784087	13.877663	8.119124	8.68578	8.772594
ENSMMUG00000000327	156.18543	119.30692	204.8971	171.225647	222.70623	145.570081	153.36588
ENSMMUG00000000328	44.4104	24.0708	47.3904	33.4457	45.1938	27.7455	32.0938
ENSMMUG00000000329	151.67101	140.98732	149.36643	146.82678	146.556196656	110.42669	119.60824
ENSMMUG00000000330	14.086020858129	12.5500621336606	17.036454397	19.9001301070632	19.4133800001012	12.278009503984	14.999355311231
ENSMMUG00000000332	0.616476	1.51299	1.2359485	1.462306	1.199205	0.237665	0.505918
ENSMMUG00000000335	3.537672	8.095178	5.855748	7.695757	6.801891	5.306144	6.160118
ENSMMUG00000000336	5.11567	5.3917	6.24195	6.38719	4.82104	5.63469	5.48919
ENSMMUG00000000337	0	0	0	0	0	0	0
ENSMMUG00000000338	11.40261	21.84447	19.53949	19.11373	13.28866	10.343524	16.5338
ENSMMUG00000000340	6.99624	4.704857	7.53527	7.13608	9.65733	4.29522	5.6881
ENSMMUG00000000342	2.116572	0.446701	1.53471	0.482346	1.982372	0.384767	0.750353
ENSMMUG00000000343	106.9586	42.38823	87.5847	66.2752	81.1251	46.94294	53.7853
ENSMMUG00000000345	5.420143	4.762441	7.95019	8.09017	4.697094	3.87588	4.339218
ENSMMUG00000000346	0	8.04547	10.673	0	13.0487	0	4.22628
ENSMMUG00000000350	27.284436	23.19933	34.30944	25.60302	27.591698	17.76811	22.221708
ENSMMUG00000000352	2.85041	2.72701	3.4572	2.01397	0.181317	2.88851	2.65645
ENSMMUG00000000353	0.481746	3.21321	1.18946	2.13897	2.16714	1.81386	0.51451
ENSMMUG00000000357	16.367	11.4572	9.9529	11.9802	14.4223	11.8548	14.0843
ENSMMUG00000000358	26.037506	14.835817	22.256578	20.66252	23.44656	13.836173	17.85903
ENSMMUG00000000359	0.48306	0.399241	0.889967	0.744221	0.683453	0.4797001	0.610164
ENSMMUG00000000362	2.5065	1.039144	3.56129	4.27263	5.02971	3.084863	2.157979
ENSMMUG00000000364	29.3309	31.9747	32.1756	26.4812	30.3935	21.7931	29.1469
ENSMMUG00000000366	2.82226	2.91815	3.11679	4.05296	4.30618	3.0857	3.81643
ENSMMUG00000000368	14.007096	6.246785	10.240611	13.70166	10.66465	7.103453	5.141073
ENSMMUG00000000373	73.895597	62.229851	96.277975	87.766423	89.1574	78.71933	79.62352
ENSMMUG00000000375	0.715598	1.24135	1.1319	1.07198	1.61269	1.0125	1.22158
ENSMMUG00000000376	181.80816	291.87006	180.81695	183.41324	249.82111	252.92124	346.14493
ENSMMUG00000000377	14.7243	24.875542	26.985818	24.7005	18.0654	18.9389	16.2902
ENSMMUG00000000378	3.01446	4.04366	3.70488	4.67748	7.8412	5.98204	9.88752
ENSMMUG00000000379	11.2522	14.6957	17.7956	9.34004	14.1793	6.9592	11.5634
ENSMMUG00000000380	27.212	18.16904	26.92522	26.3881	27.186	11.86316	16.67209
ENSMMUG00000000381	1.466414	1.741438	1.823361	2.051032	1.72483	1.0134532	2.9616
ENSMMUG00000000382	8.90997	7.11127	10.0489	13.4916	8.45513	5.88884	8.53692
ENSMMUG00000000383	5.542428	4.307673	7.750913	9.315692	4.866367	4.97742226	3.706117
ENSMMUG00000000386	6.26315	10.718173	11.245228	9.72353	12.768606	7.673674	13.843076
ENSMMUG00000000387	5.407075	6.8915590178243	6.328071	7.609845	8.919411	6.5969009	14.130251
ENSMMUG00000000388	64.6673400113079	48.610850193646	65.58602355976	76.1788700012069	55.5234161002702	40.4944750051961	34.4095973
ENSMMUG00000000389	12.70963	6.846283	8.4937	8.308433	11.13581	7.1020000526802	6.97232
ENSMMUG00000000390	14.09522	11.1638	17.94384	17.04139	18.51871	12.62166	13.11104
ENSMMUG00000000391	36.7962	39.9101	51.6618	44.4791	35.4123	33.764	30.0781
ENSMMUG00000000392	0.158504	0.358191	0	0.132479	0	0.124374	0
ENSMMUG00000000396	17.47557	13.28042	14.514419	16.449079	13.08847	10.264534	12.831336
ENSMMUG00000000397	14.1457	15.0446	11.4972	10.5926	12.9709	13.9492	9.23761
ENSMMUG00000000398	35.4391	39.8417	44.6599	53.431	50.0826	56.0868	30.6036
ENSMMUG00000000399	22.73629	20.04945	29.7348	28.2756	35.83685	18.519094	25.697947
ENSMMUG00000000400	13.503373	9.59556	21.46449	14.53974	19.72611	11.471011	13.80216
ENSMMUG00000000401	21.4608	12.38929	14.85422	20.15234	20.1614	15.62877	12.81328
ENSMMUG00000000402	6.56484	7.12611	9.27355	9.59315	9.83722	7.37977	2.15095
ENSMMUG00000000404	0	0.45045	0	0.125901	0	0.117891	0.306836
ENSMMUG00000000406	0.105992	0.240164	0.127843	0.0876685	0.116261	0.161736	0.21419
ENSMMUG00000000411	73.801	54.846	74.1039	57.5417	88.3199	54.4307	62.0166
ENSMMUG00000000413	1.73443	2.21277	3.30372	2.36227	1.83895	1.27442	1.6841
ENSMMUG00000000415	5.81313970653353	3.85103	3.449950156488	7.01368312	8.3682730100228	2.65081245	4.3163900533795
ENSMMUG00000000416	0.762896	0.493812	0.964955	0.541181	0.350892	0.72013	1.46045
ENSMMUG00000000419	15.840576	9.366501	16.398777	14.514568	21.939714	6.7154	11.798107
ENSMMUG00000000421	9.48973	7.56596	11.8051	9.82805	11.815955159914	6.4902	10.726995
ENSMMUG00000000422	360.328	413.603	465.843	296.485	294.989	353.117	345.299
ENSMMUG00000000424	11.485982	18.97947748923	15.92696535	14.9758274807	16.132691167347	13.9382641181	17.87713627852
ENSMMUG00000000425	11.7472130019449	10.5933921023773	15.481164	12.031179512	15.364351	9.571775	9.05778700177536
ENSMMUG00000000427	26.37093	37.2287	30.26403	24.609847	24.612051	27.264338	29.881524
ENSMMUG00000000428	73.7795	87.9936	105.1948	106.2849	156.9148	84.5962	145.1923
ENSMMUG00000000429	2.159371	2.487723	2.29079	2.500524	0.544048	2.873175	1.428102
ENSMMUG00000000431	0.0753985	0.685844	0.226248	0.246162	0.164673	0.610886	0.792298
ENSMMUG00000000433	6.61271	2.17149	4.07398	3.75045	7.02707	0.88452	2.61797
ENSMMUG00000000434	76.5009	119.039	159.84	142.267	110.799	89.5565	91.2701
ENSMMUG00000000438	2.95376	2.80762	5.47818	4.91523	4.92053	1.366985	1.60731
ENSMMUG00000000439	1.635059	2.21891	2.3177766	1.1031967	1.178117	1.587758	2.425827
ENSMMUG00000000443	2.61293000194851	3.4959146793	4.31754	3.6633483	3.621151	3.1068194	3.7390209116149
ENSMMUG00000000446	12.5829	18.7933	18.3134	19.91769	19.13841	12.735856	17.52898
ENSMMUG00000000448	0	0	0	0	0	0	0
ENSMMUG00000000449	1.4137296	0.707157	1.594299	1.139533	1.3144306	0.381026	0.904206
ENSMMUG00000000450	0	0	0	0	0	0	0
ENSMMUG00000000451	237.639361	170.842737	203.471863	206.055681	215.673381	168.553139	166.442416
ENSMMUG00000000452	267.8796	248.4244	200.8286	195.5116	342.6969	219.1177	295.9653
ENSMMUG00000000453	60.8939	51.3943	69.5512	73.3097	61.1982	73.0143	45.7128
ENSMMUG00000000454	1.15751	4.84636	3.11068	4.62437	3.12185	2.3567	2.24379
ENSMMUG00000000455	12.35028	9.902684	13.63372	13.478442	16.71584	10.193291	11.45227
ENSMMUG00000000456	159.7407	112.77	147.1767	133.20513	141.3824	90.08819	100.7004
ENSMMUG00000000457	12.448341	11.447032	21.0654	15.3202	15.745056	10.4827201502	11.811546
ENSMMUG00000000458	8.412723	15.56652383396	12.39011	17.53028	12.67962	10.242219	10.66521
ENSMMUG00000000459	15.826121	13.91824	21.38825	18.597254	22.004599	10.917479	17.039185
ENSMMUG00000000460	0	0	0	0.355745	0.156507	0.332151	0.289135
ENSMMUG00000000464	5.025361	2.866758	6.245612	5.354666	4.8250655	2.265774	2.957005
ENSMMUG00000000465	13.62228	9.851237	14.606873	12.744548	10.81265	7.6098	6.959115
ENSMMUG00000000466	3.32932	1.160486	1.545897	3.03235	4.073729	0.721766	2.84588
ENSMMUG00000000468	0	0	0	0	0.0435266	0	0
ENSMMUG00000000469	0	0	0	0.0513204	0	0	0
ENSMMUG00000000470	0	0	0	0.286453	0.36867	0	0
ENSMMUG00000000476	0.798029	1.400271	1.91783	1.905953	1.57022	1.469284	2.700537
ENSMMUG00000000477	20.6071	28.4396	26.897	26.3552	25.3777	34.6611	31.6679
ENSMMUG00000000478	152.063	151.76543	128.93585	130.469283	119.57094	125.07751	127.03924
ENSMMUG00000000480	6.96139	5.44885	6.99854	7.65576	9.73389	5.43355	7.40222
ENSMMUG00000000481	7.721663	9.373373	11.78418	11.45959	14.50506	12.553972	13.96818
ENSMMUG00000000482	15.2455	14.8894	20.3538	18.0736	22.8255	15.774	18.4297
ENSMMUG00000000485	28.3544	19.17057	29.82787	24.09424	22.68384	15.57522	16.78936
ENSMMUG00000000488	0	0	0.511967	0	0	0	0.154072
ENSMMUG00000000490	2.23922	1.5406	3.26482	3.56533	4.30618	1.72566	3.8189
ENSMMUG00000000491	2.9045	4.84437	3.17373	2.94746	6.45683	2.96612	2.48849
ENSMMUG00000000494	5.74949	10.65491	8.120206	7.90681	9.15695	5.864009	7.31013
ENSMMUG00000000495	2.34138	0.576783	1.35023	2.94459	3.68382	0.774979	3.18672
ENSMMUG00000000496	2.48458	2.3242	2.71383	2.21044	3.10806	1.37449	1.726
ENSMMUG00000000498	5.750851	3.35728	5.489764	4.50204	5.38138	2.51121	3.408705
ENSMMUG00000000500	0.134828	0.0767368	0.201989	1.226082	0.110277	0.0491351	0.0168177
ENSMMUG00000000504	1.55155947	2.534145	1.8149713	2.423671	2.022244	1.6714917	1.8772970225664
ENSMMUG00000000505	2.19638	1.39359	3.18514	3.55113	3.0387	2.07426	3.11487
ENSMMUG00000000506	0.473098	0.363082	0.691224	0.452822	0.311463	0.19519	0.362399
ENSMMUG00000000507	497.98225	497.8914	556.817511945	480.2533	511.86715	324.5304302	418.3797173573
ENSMMUG00000000511	19.20844722786	19.929492	28.79757	21.33655	17.784371	18.014303	18.19693
