sample_SRR13255798	sample_SRR13255824	sample_SRR13255827	sample_SRR13255871	sample_SRR13255875	sample_SRR13255897	sample_SRR13255903	sample_SRR13255906
ENSMOCG00000000149	2.06209	0.625195	2.414859	0.6121647	1.592471	2.10495	1.504829	1.20348
ENSMOCG00000000150	16.7967	20.3922	21.4226	20.0821	19.1797	17.0946	20.3556	18.9165
ENSMOCG00000000151	0	0	0	0	0.263372	0	0	0
ENSMOCG00000000152	64.4773	87.4359	86.2762	70.9511	57.6459	72.7572	69.5332	60.7715
ENSMOCG00000000153	23.9059	33.1679	26.1361	21.7964	30.0275	12.5994	23.4565	26.3027
ENSMOCG00000000154	146.1386	228.4987	239.8439	205.4103	204.9599	159.0898	195.647	191.0888
ENSMOCG00000000155	43.33046	43.95619	42.58402	42.58306	39.98352	43.55634	46.02602	42.15966
ENSMOCG00000000156	0	0	0	0	0	0	0	0
ENSMOCG00000000157	27.3877	27.9966	27.6241	27.0394	27.1017	22.7824	20.493	26.3039
ENSMOCG00000000158	25.05634	29.37774	25.9086	20.00588	21.62972	27.01781	26.30027	25.76657
ENSMOCG00000000159	0	0	0	0	0	0	0	0.10553
ENSMOCG00000000160	0.424726	0.282853	0.125579	0.133721	0.130292	0.159483	0.577759	0.216002
ENSMOCG00000000161	0	0	0	0	0	0	0	0
ENSMOCG00000000162	42.246	34.1921	28.8938	30.83083	32.38	34.233	43.6885	38.4886
ENSMOCG00000000163	4.29006	5.14929	4.89122	3.22632	3.60501	4.16365	4.00744	4.73691
ENSMOCG00000000164	7.25914	12.1744	10.0942	14.0823	13.9213	9.27169	12.1395	11.0416
ENSMOCG00000000165	9.05165	9.50567	9.86247	8.71904	6.29467	8.7999	9.27359	7.91597
ENSMOCG00000000166	0	0	0.0319415	0.0318738	0.0308663	0.0373075	0.0965024	0.0771168
ENSMOCG00000000167	15.4381	29.8136	31.0735	37.434	31.6611	14.4799	25.6183	24.7479
ENSMOCG00000000168	0	0	0	0	0	0	0	0
ENSMOCG00000000169	13.9846	10.92768	12.07818	10.30943	8.48845	13.07596838	12.0797	11.126
ENSMOCG00000000170	3.42425	6.35562	5.87523	5.16257	5.71925	4.91516	5.72685	5.85436
ENSMOCG00000000171	0	0	0	0	0	0	0	0
ENSMOCG00000000172	6.387017	5.10607	5.69723	6.824343	3.14081	5.59961	4.89591	4.17396
ENSMOCG00000000173	223.827	318.8375	327.9507	260.083	258.856	203.638	267.806	283.31
ENSMOCG00000000174	15.7725	19.8738	19.4536	17.4928	13.2221	11.8863	16.2792	14.8317
ENSMOCG00000000175	16.4967	21.7979	20.0369	21.0898	21.1458	20.1737	21.0637	18.459
ENSMOCG00000000176	18.4563	11.548	14.825616	13.2507	15.3494	16.6346	16.2986	14.897849
ENSMOCG00000000177	413.716	251.815	271.048	492.4	423.108	332.817	440.944	430.669
ENSMOCG00000000178	18.05832	20.9644248	20.87154	23.03094	20.7289681	22.10187	23.81008	20.76941
ENSMOCG00000000179	3.38495	7.09359	6.10093	5.30824	4.821	3.33476	4.3281	4.74054
ENSMOCG00000000180	3.96873	3.13476	3.22999	2.76989	3.3895	4.53892	3.76109	3.65541
ENSMOCG00000000181	10.5685	13.6983	13.1597	10.8903	9.13886	12.2072	11.2225	9.76621
ENSMOCG00000000182	1.81064	0.729193	0.281755	1.31384049	0.317917	1.537041	1.32415	0.377913
ENSMOCG00000000183	2.87556	4.42684	4.28468	3.40027	4.10784	3.46767	3.73739	2.87801
ENSMOCG00000000184	0	0	0	0	0	0	0	0
ENSMOCG00000000185	19.4127	26.54786	22.51003	19.57381	21.05477	19.49872	22.19777	19.53454
ENSMOCG00000000186	2.99692	5.31054	3.76968	3.83925	4.76942	5.67393	2.62222	2.65842
ENSMOCG00000000187	15.49108	14.27307	12.74643	13.103961	13.90008	14.7275	15.401514418	14.59552
ENSMOCG00000000188	10.578	29.6782	10.4249	17.338	25.185	9.13219	23.622	18.1776
ENSMOCG00000000189	82.679	59.5957	55.4123	59.1196	65.5209	74.4083	67.817	66.6121
ENSMOCG00000000190	7.36772	14.2455	12.65837	8.86501	11.4294	7.36004	8.53629	12.43407
ENSMOCG00000000191	47.4057	54.2081	45.2689	41.8719	41.1653	50.0268	42.7728	43.5772
ENSMOCG00000000192	0.135074	0.103356	0.0665598	0.46493	0.128638	0	0.0670305	0.0535653
ENSMOCG00000000193	14.8509	17.199	17.2732	16.809	15.4176	14.7848	18.2253	15.2009
ENSMOCG00000000194	16.83637	29.84369	30.2919	24.99574	23.56196	23.28454	23.63375	22.65042
ENSMOCG00000000195	0	0.0379779	0	0	0	0	0.0492606	0
ENSMOCG00000000196	233.5674	327.316	333.9331	313.8079	306.8246	218.04456	297.5832	285.473
ENSMOCG00000000197	0	0	0	0.126095	0	0	0	0
ENSMOCG00000000198	1.03156	2.3428	2.02567	1.98984	1.13046	0.814753	1.14466	1.86108
ENSMOCG00000000199	0.637066	1.94988	2.24979	1.30525	1.31455	0.611104	1.63342	1.30529
ENSMOCG00000000200	25.88288	25.7155	23.3518	17.38493	21.18325	30.79125	24.91292	21.89532
ENSMOCG00000000201	0	0	0.0599133	0.119573	0.0578965	0.161369	0	0
ENSMOCG00000000202	11.36519	30.0947	30.1137	20.13868	19.69229	13.1807	16.27043	17.85808
ENSMOCG00000000203	273.225	230.082	230.589	245.932	243.987	272.727	262.889	240.518
ENSMOCG00000000204	12.9442	19.4658	17.0338	16.3354	16.9592	14.211	16.4117	18.2777
ENSMOCG00000000205	2.25303	4.82712	5.06258	1.59532	2.83231	1.03738	2.14669	1.07216
ENSMOCG00000000206	0	0	0	0	0	0	0	0
ENSMOCG00000000207	0	0	0	0	0	0.23444	0	0
ENSMOCG00000000208	0	0	0	0	0	0	0.11154	0
ENSMOCG00000000209	282.11	254.594	305.394	315.073	299.528	350.818	351.121	266.706
ENSMOCG00000000210	9.7589	5.97386	4.53407	5.62129	6.30662	6.94066	8.26748	8.20998
ENSMOCG00000000211	85.4893	45.0451	55.0308	51.2957	70.08	69.0091	79.6931	61.796
ENSMOCG00000000212	66.1875	100.643	110.621	96.228	82.5153	72.5888	82.3082	73.8342
ENSMOCG00000000213	0.238018	0	0.229902	0	0.487916	0	0	0
ENSMOCG00000000214	30.6322	33.4416	26.2177	27.3542	24.0871	44.2361	32.0935	25.0228
ENSMOCG00000000215	21.1867	26.4853	22.6404	22.1684	22.2302	23.6081	22.0059	20.7605
ENSMOCG00000000216	11.1923	18.2895	19.4944	14.3651	12.7121	11.7519	14.6001	13.1444
ENSMOCG00000000217	82.1001	66.6876	73.5586	60.698	55.333	79.4099	70.9887	66.1613
ENSMOCG00000000218	11.5162	6.42377	3.94585	6.87885	9.26059	17.4139	7.98786	11.7408
ENSMOCG00000000219	3.78106	4.63829	5.50081	5.135	4.45828	4.00694	4.82491	5.0457
ENSMOCG00000000220	63.3422	105.389	104.411	99.2516	92.804	69.1784	93.5727	85.2215
ENSMOCG00000000221	34.0987	34.9767	33.7728	24.81506	33.01757	31.7528	33.58823	27.3141
ENSMOCG00000000222	0	0	0	0	0	0	0	0
ENSMOCG00000000223	193.583	161.3867	189.5114	222.2894	245.6387	182.2988	204.9409	197.9883
ENSMOCG00000000224	20.76218	17.36586	17.92173	19.29185	16.84116	18.46012	19.11428	19.76047
ENSMOCG00000000225	0	0	0	0	0	0	0	0
ENSMOCG00000000226	0	0	0	0	0	0	0	0
ENSMOCG00000000227	0	0	0.140647	0.139446	0	0.292506	0	0.199754
ENSMOCG00000000228	5.97344	7.94412	6.96682	7.34655	4.33767	4.38498	5.80816	8.10825
ENSMOCG00000000229	20.1553	21.9852	19.7698	18.9781	16.8354	24.4622	19.6732	18.6311
ENSMOCG00000000230	0.0352012	0.0808057	0.0346919	0.0692367	0	0.04052	0.0349373	0.027919
ENSMOCG00000000231	60.3502	78.4649	75.4768	84.0709	80.9654	64.2328	77.2172	84.3476
ENSMOCG00000000232	0.0842026	0	0.0829845	0	0.641528	0.193851	0.334286	0.467484
ENSMOCG00000000233	437.222	539.603	535.918	360.631	401.467	544.774	419.946	411.404
ENSMOCG00000000234	1.61959	3.56293	0.39904	6.96839	1.34963	0.466076	4.62142	0.160568
ENSMOCG00000000235	99.8805	69.5506	81.9977	82.5231	66.9855	86.0244	92.1379	78.6539
ENSMOCG00000000236	31.35	27.00184	27.1173	25.24425	22.86655	30.7303	28.6013	25.79281
ENSMOCG00000000237	63.8918	79.6064	64.4534	73.2135	84.3613	60.9626	79.4999	68.3132
ENSMOCG00000000238	6.136095	5.984032	6.406547	4.936811	4.716092	6.106711	6.06577	5.369289
