sample_SRR5516115	sample_SRR5516118	sample_SRR5516121	sample_SRR5516123	sample_SRR5516126	sample_SRR5516128	sample_SRR5516131	sample_SRR5516132
ENSCPOG00000000345	16.9084	19.2272	16.1973	12.9946	13.47	17.4192	19.2376	14.91
ENSCPOG00000000346	48.0237	44.8619	43.2001	36.4408	42.1201	52.0148	34.1389	47.9546
ENSCPOG00000000348	0.613488	0.485984	0.564035	0.229271	0.715781	0.295962	0.47333	0.806823
ENSCPOG00000000349	157.87337	148.146	130.93051	173.06704	139.15426	190.561	198.497	230.00859
ENSCPOG00000000350	1.31959	1.176	1.45587	1.35618	1.15472	1.52785	2.03623	1.23961
ENSCPOG00000000354	13.2068	9.61252	7.99106	11.8118	11.1945	13.505	12.3171	16.7539
ENSCPOG00000000355	18.7312	18.3666	17.4576	16.2987	17.9287	19.122	18.2833	20.3087
ENSCPOG00000000357	17.036	10.0512	12.5112	15.413	15.6658	19.0529	16.9229	24.0246
ENSCPOG00000000358	12.8039	12.7209	11.6554	11.197	12.1953	13.3394	12.7336	15.0866
ENSCPOG00000000359	14.1205	13.3562	8.28347	7.16246	10.6042	8.79473	7.98506	6.73131
ENSCPOG00000000361	77.5274	77.8029	75.0431	82.0912	76.4496	83.5771	85.8241	87.0225
ENSCPOG00000000363	0.462903	0.163703	0.39674142	0.403159	0.257184	0.255218	0.364436	0.40537444
ENSCPOG00000000367	25.6647	26.1865	16.9838	17.0863	16.4025	18.7355	17.5297	19.0132
ENSCPOG00000000368	22.51203	22.94982	23.29389	21.524281	18.92010112948	20.73119	22.35757	23.80274
ENSCPOG00000000371	29.6346	16.4559	10.8983	3.69166	10.7343	6.5035	8.454	10.262
ENSCPOG00000000372	11.6682	10.5118	7.32004	9.36249	7.91912	7.01975	7.61554	7.47925
ENSCPOG00000000374	78.2721	80.0207	59.3646	63.949	65.77518	61.655	76.4728000081262	73.9045
ENSCPOG00000000375	0.618247	0.561176	0.568411	0.481354	0.751389	0.546807	0.738217	0.822762
ENSCPOG00000000376	5.36707	5.31451	5.61038	5.97609	5.57573	4.96561	5.10522	5.38708
ENSCPOG00000000379	22.1646870088238	21.253874	20.2119639	22.623851	18.288215	20.773424	23.5977515	25.8657461
ENSCPOG00000000380	1.40898	0.46506	0.2159	0.7679	0.913285	1.01959	0.776487	1.43387
ENSCPOG00000000382	16.5962	16.2856	14.1587	12.8516	13.6649	14.1375	16.6443	14.4666
ENSCPOG00000000385	70.4087	66.2066	75.4643	104.954	60.3284	71.5582	105.3511	95.8546
ENSCPOG00000000386	0.665521	1.02512	0.67986	0.8636	0.826818	0.499433	0.692784	0.833576
ENSCPOG00000000387	17.8503	20.3292	17.4674	17.8846	17.8209	19.0699	16.1933	15.9142
ENSCPOG00000000388	14.8906	17.7044	14.2101	17.1827	13.483	16.9652	19.0241	19.4264
ENSCPOG00000000389	8.3066	9.84871	10.48372	10.97191	8.62518	10.60584	13.79262	13.82313
ENSCPOG00000000390	0.802105	1.059	1.10617	0.249801	0.129979	0.6527480591245	0.589386	1.38139
ENSCPOG00000000391	11.6214	11.3158	14.6023	16.2867	12.8059	16.6325	18.5732	21.4701
ENSCPOG00000000392	21.7471	21.241	19.0834	19.5629	18.0004	19.4887	21.648	20.3327
ENSCPOG00000000393	0.218173	0.108018	0.200586	0.101919	0.106063	0.105252	0.300587	0.307423
ENSCPOG00000000395	45.5915	43.2775	35.8789	38.5948	36.9573	38.5696	48.1916	44.5739
ENSCPOG00000000396	35.2962	32.262	31.8963	33.6816	29.1849	42.0601	36.4096	42.7921
ENSCPOG00000000397	0.278281	0.045926	0.170566	0.0866655	0	0.04475	0.10224	0.087138
ENSCPOG00000000398	2.16622	2.3708	2.62053	1.38476	2.66044	2.6401	3.51857	2.35622
