sample_SRR6293978	sample_SRR6293979	sample_SRR6293980	sample_SRR6293981	sample_SRR6293982
ENSSTOG00000000550	5.18119	3.75845	3.51898	3.63029	4.16382
ENSSTOG00000000551	1.32597	0.993326	1.33558	1.57086	2.32051
ENSSTOG00000000553	0.132165	0	0	0	0
ENSSTOG00000000555	11.8403	12.3894	12.3616	11.4162	11.1577
ENSSTOG00000000556	10.6376	9.23627	8.98613	8.94305	9.27106
ENSSTOG00000000559	62.1203	61.8754	56.9935	62.0947	62.6
ENSSTOG00000000560	22.5941	21.4249	21.0732	21.742	20.8209
ENSSTOG00000000561	25.8654	25.4674	25.1002	26.0857	25.8686
ENSSTOG00000000562	27.43472	30.38143	27.93416	30.103777	29.122676
ENSSTOG00000000563	1.48732	1.19603	0.308937	4.31669	0.316432
ENSSTOG00000000564	33.2586	33.6505	34.1336	31.5727	25.4808
