sample_SRR5279360	sample_SRR5279359	sample_SRR5279358	sample_SRR5279356	sample_SRR5279349	sample_SRR5279348	sample_SRR5279345	sample_SRR5279344
ENSPEMG00000000222	0	0	0	0	0	0	0	0
ENSPEMG00000000223	8.791519	10.1919	7.54139	7.50043	2.15601	0.776595	6.45609	5.52619
ENSPEMG00000000224	14.45892	10.21026	10.951637	11.90431	16.3125	14.716	17.37932	13.57283
ENSPEMG00000000225	2.06684	2.61787	1.86494	1.546660195974	5.054940836	2.218612731	1.37278	1.579206
ENSPEMG00000000226	17.458	20.2421	14.41	22.4422	8.88954	19.7995	17.6225	4.77858
ENSPEMG00000000227	3.51032	10.2929	2.52308	1.78681	14.5521	0	10.68693	3.48029
ENSPEMG00000000228	32.936	25.5781	26.606	25.453	52.8392	32.037	36.0104	26.0099
ENSPEMG00000000230	6.04713	7.18812	6.08333	5.94898	26.5038	21.0419	23.951	18.8689
ENSPEMG00000000233	0.826621	1.14185	0.300526	1.48963	0	0	0.766956	0.29211
ENSPEMG00000000234	29.0748	26.3249	21.0438	19.9354	10.4319	24.5321	36.177	11.8209
ENSPEMG00000000235	4.24943	4.91816	0.941884	3.97936	0	0	0.686992	0
ENSPEMG00000000237	24.5504	19.477	25.3453	27.056	42.2878	34.8473	24.3246	32.743
ENSPEMG00000000238	7.69848	8.74882	9.15903	9.25443	6.20011	0	7.6168	7.33954
ENSPEMG00000000240	30.254	36.9314	28.4189	41.7889	37.1216	39.9399	31.0477	25.6144
ENSPEMG00000000241	45.28816	53.53875	45.60245	62.75214	40.703400347886	65.21731	69.5564	44.3635
ENSPEMG00000000244	841.535	1050.58	864.765	740.768	1064.3	826.161	919.247	965.187
ENSPEMG00000000246	2.47133	3.51629	2.66203	2.17343	9.451170613763	4.37708	4.96171	2.865222869
ENSPEMG00000000247	4.77132	5.76531	6.14859	7.88476	6.84375	4.13887	4.7112	6.38225
ENSPEMG00000000248	14.3355	19.9837	13.2459	18.2531	23.3149	14.0995	18.8201	16.3194
ENSPEMG00000000249	0	0	0	0	0	0	0	0
ENSPEMG00000000250	9.63781	9.20263	4.85176963434	8.28961	18.980447	17.1410082633	9.28502	8.66102
ENSPEMG00000000251	10.5572	11.1241	10.8761	11.637	1.38451	16.37509	11.4031	9.95025
ENSPEMG00000000252	10.896231	17.972578	13.2486517	11.485599	6.805695	1.02152	8.835796	6.187553295
ENSPEMG00000000253	3.51148	3.99654	3.23868	3.11769	6.41824	6.89479	3.09225	6.96502
ENSPEMG00000000254	0	0	0	0	1.291	4.3065	0.310474	0.258688
ENSPEMG00000000255	4.190184	6.033749	4.74747	4.75682	3.1973	6.52534	3.761011	0.900736
ENSPEMG00000000256	0	0	0	0.117155	0	0	0	0
ENSPEMG00000000257	0.853122	0.125582	3.433592	0.46328	1.18933	0	1.21274	0.42084
ENSPEMG00000000258	45.4248	31.1619	32.96	45.014	1.84583	7.30394	35.3952	34.8634
ENSPEMG00000000259	42.36888	40.46121	36.82937	45.8108	51.16066	41.99288	64.5679	25.59094
ENSPEMG00000000260	101.084	74.8844	84.6376	97.0171	77.4943	114.281	122.672	82.2249
ENSPEMG00000000261	33.54933	33.3349	31.1011	33.17469	51.2577	29.760974	36.21551	24.688472
ENSPEMG00000000262	1021.72	969.862	1004.31	845.989	560.239	560.651	524.427	465.63
ENSPEMG00000000263	0.117454	0	0	0	0	0	0	0.891547
ENSPEMG00000000264	3.40831	6.37694	3.76216	3.58299	4.06505	14.0692	5.80551	3.2931
ENSPEMG00000000265	14.502244	13.6977	19.85499	16.7461	18.4672	17.0989	11.3488	11.6148
ENSPEMG00000000266	0	0	0	0	0	0	0	0
ENSPEMG00000000267	93.559	106.29	102.004	94.5066	110.086	183.096	85.392	91.3278
ENSPEMG00000000268	1.85718	1.38875	2.61452	4.84839	0	5.32836	2.71182	0.237205
ENSPEMG00000000269	14.07574	15.70489	14.708	14.675952	21.52779	25.7866	17.48617	15.7161
ENSPEMG00000000270	32.7414	26.679	30.9211	30.9822	22.2811	35.7884	58.7299	28.6344
ENSPEMG00000000271	24.6277	26.5275	19.9407	21.215	24.6525	25.2789	24.4099	30.0231
ENSPEMG00000000274	220.53	206.232	206.342	205.318	188.234	232.24	192.788	178.166
ENSPEMG00000000275	14.5363	17.1537	14.5706	15.9069	19.8892	11.8408	9.67335	9.56162
ENSPEMG00000000276	41.9994	33.6302	47.4858	46.9157	44.5074	51.2416	67.7018	53.1235
ENSPEMG00000000277	1280.77	871.004	981.552	607.29	330.423	297.602	383.527	1106.58
ENSPEMG00000000278	12.8242	10.5779	7.83812	10.5975	18.2577	10.2386	17.4655	15.3329
ENSPEMG00000000279	6.61643	5.20963	3.42326	5.83174	2.66551	2.64047	5.23861	8.36659
ENSPEMG00000000280	2.50494	2.23319	0.422049	0.186506	0	0	0	0
ENSPEMG00000000281	0	0	0	0	0	0	0	0
ENSPEMG00000000282	9.61584	13.3746	11.5391	11.7913	9.47942	13.3743	8.97054	6.66884
ENSPEMG00000000284	5.59783	4.83046	3.93275	17.9661	0	0	0.667131	2.43379
ENSPEMG00000000286	0.319399	0.349321	0.237441	0.999443	0	0	0.376305	0
ENSPEMG00000000288	29.8439	32.3134000234029	29.6908	34.1963	17.4559	28.9227	14.6109	12.5005
ENSPEMG00000000289	14.179621	15.81849904	13.9696	13.75049	16.38948	17.31625	11.72896	18.6420000946349
ENSPEMG00000000290	1.2458	2.04943	2.08595	1.9096	0	5.00039	0.219905	0.372502
ENSPEMG00000000291	10.5068	16.3519	10.4446	7.46609	10.3304	6.54593	11.1613	7.48402
ENSPEMG00000000292	0	0	0	0.165516	0	0	0	0
ENSPEMG00000000293	25.8788	26.6624	15.8193	27.7569	32.3822	11.36	27.4672	19.6436
ENSPEMG00000000294	17.4245	9.8233	13.8796	13.7844	14.2432	15.5766	11.9807	13.3299
ENSPEMG00000000296	9.4966	11.6104	8.42819	17.7804	10.8012	24.1675	13.7715	7.33954
ENSPEMG00000000297	13.5996	14.1067	13.9916	13.9449	20.0214	15.3313	14.3176	10.953
ENSPEMG00000000298	0.426249	0	0.79952	0.211772	0	0	0.498117	0
ENSPEMG00000000299	0	0	0	0	0	0	0	0
ENSPEMG00000000300	2.83554	2.65089	2.22733	2.98136	4.49815	1.91871	1.92766	1.36894
ENSPEMG00000000303	0	0	0	1.08189	0	0	0	0
ENSPEMG00000000304	12.62516	12.779297	12.1289	14.34766	13.3727	22.00232	8.93032	9.69287
ENSPEMG00000000305	7.92397	10.2057	9.02212	11.7042	12.5015	13.9238	8.13691	5.49201
ENSPEMG00000000306	0.35593	0	0.529564	0.117299	0	0	0.209506	0.88615
ENSPEMG00000000307	5.66837	4.52202	3.68894	5.81144	4.01123	3.90444	6.07744	3.67737
ENSPEMG00000000309	0	0	0	0	0	0	0	0
ENSPEMG00000000311	71.6577	92.597	71.9226	84.8653	66.4791	59.9337	68.9858	60.4866
ENSPEMG00000000312	90.0005	107.829	92.9121	91.8134	90.6275	79.6115	71.6437	56.7671
ENSPEMG00000000313	29.2696	29.521	28.3214	28.8934	23.7912	29.1974	28.8407	14.4064
ENSPEMG00000000314	126.248	99.5994	109.736	117.553	70.6745	98.3358	112.754	110.353
ENSPEMG00000000315	2.08493	0	1.24851	0	0	0	1.31229	1.34038
ENSPEMG00000000316	0	0	0	0	0	0.682802	0	0
ENSPEMG00000000317	1.82741	1.54532	0.828359	2.35356	0	4.87068	1.43897	1.20477
ENSPEMG00000000318	22.428905	25.9660285172	17.338346749773	30.91792	34.719363	30.336935	33.35805	25.6817
ENSPEMG00000000320	43.6559	35.7325	38.364	35.0781	32.13	39.0874	56.6163	38.5506
ENSPEMG00000000321	27.1951	15.9927	30.6911	20.7162	23.6985	27.8794	30.6686	29.8734
ENSPEMG00000000322	7.67473	10.0936	8.01513	9.45924	12.6169	9.39357	14.8766	8.57854
ENSPEMG00000000323	0	0	0	0	0	0	0	0
ENSPEMG00000000324	2.95884	4.05828	4.08442	3.05286	14.4339	7.13639	7.54633	7.96607
ENSPEMG00000000325	0.350025	0	0.438627	0.280794	0	0	0.309674	0
ENSPEMG00000000326	0	0	0	0	0	0	0	0
ENSPEMG00000000327	0.176218	0.892887	0.359273	0.926779	0	0	0	0.261078
