sample_SRR8750645	sample_SRR8750677	sample_SRR8750709
ENSPTRG00000000721	5.10132	3.85922	2.5003
ENSPTRG00000000723	33.083548	50.93913	7.632208
ENSPTRG00000000724	0.0708595	0.0578534	0.200775
ENSPTRG00000000725	22.8960000251497	19.2470000014214	24.4039
ENSPTRG00000000726	1.29289	1.76882	9.37221
ENSPTRG00000000728	9.005593	9.02046	5.50558
ENSPTRG00000000729	25.962264	24.8049	33.4588
ENSPTRG00000000730	23.8866068	21.329648	26.619793
ENSPTRG00000000731	43.917818	38.633636	42.28807
ENSPTRG00000000732	7.95574	7.83961	2.71604
ENSPTRG00000000733	39.10607	31.3765	26.64274
ENSPTRG00000000735	60.6646	51.5226	54.4346
ENSPTRG00000000736	20.0008	20.28489	12.17596
ENSPTRG00000000737	14.87514	10.702437	30.40173
ENSPTRG00000000738	2.19033	1.66349	2.71452
ENSPTRG00000000739	20.953388	18.73875	12.288149
ENSPTRG00000000740	8.364777	4.19296	6.088183
ENSPTRG00000000741	2.20299	2.876	4.52356
ENSPTRG00000000744	1.26183	1.06141	0.578026
ENSPTRG00000000745	12.1867	16.6788	9.13366
ENSPTRG00000000746	9.23781533266	7.290327	9.43196
ENSPTRG00000000747	16.605936	6.648581	5.998782
ENSPTRG00000000748	46.41998	43.9237000048575	41.2937
ENSPTRG00000000749	1.49762	1.85968	1.6199
ENSPTRG00000000750	0.034256	0.2666527	0.388191
ENSPTRG00000000751	6.41152	5.654864	7.18789
ENSPTRG00000000752	48.01499	40.296216	39.75867
ENSPTRG00000000753	54.754649	34.81933	30.2802
ENSPTRG00000000754	12.80177	10.439791	9.754158
ENSPTRG00000000755	0	0	0.102261
ENSPTRG00000000756	0.90061	0.678041	0.576244
ENSPTRG00000000757	3.11864	2.95545	5.57077
ENSPTRG00000000759	22.96302	26.58798	19.08384
ENSPTRG00000000761	0.291886	0	0.283346
ENSPTRG00000000762	21.51132	24.6187	21.14661
ENSPTRG00000000763	12.1251	9.93798	6.13029
ENSPTRG00000000764	151.8682	163.1458	188.2835
ENSPTRG00000000765	1.89128	1.92399	2.82928
ENSPTRG00000000766	1.937419	1.31401	1.61775
ENSPTRG00000000769	44.72566	49.27964	38.44334
ENSPTRG00000000770	56.57262	52.83674	32.341947
ENSPTRG00000000771	5.4814	4.79486	7.4424096
ENSPTRG00000000772	0.520841	1.24056	0.729538
ENSPTRG00000000773	3.671502	1.820371	1.405442
ENSPTRG00000000776	2.5997	2.18216	2.11469
ENSPTRG00000000777	2.383172	1.456106	0.671539
ENSPTRG00000000778	0.123338	0.0503338	0
ENSPTRG00000000779	29.1936	41.9456	41.2756
ENSPTRG00000000782	0	0.104568	0
ENSPTRG00000000783	0.390019	0.156466	0.392249
ENSPTRG00000000784	6.99721	4.72023	9.1954
