sample_SRR3879744	sample_SRR3879745	sample_SRR3879746
ENSCHIG00000000374	23.98133	32.56985	25.14237
ENSCHIG00000000375	15.8261	20.0889	23.8501
ENSCHIG00000000376	3.29682	4.07482	4.49085
ENSCHIG00000000377	300.33366	323.32293	233.159
ENSCHIG00000000378	0.0729897	0.929915	0.746804
ENSCHIG00000000379	13.679	12.6278	13.2492
ENSCHIG00000000380	14.6567	19.9469	16.993
ENSCHIG00000000381	241.832	247.289	242.836
ENSCHIG00000000382	6.97256	9.52493	9.74632
ENSCHIG00000000383	0	0.084319	0.108462
ENSCHIG00000000384	0.639547	0.558627	0.774296
ENSCHIG00000000385	1.24504	1.721	1.42349
ENSCHIG00000000386	29.24534	31.2553	33.64787
ENSCHIG00000000387	0.351923	0	0
ENSCHIG00000000388	57.4717	63.189389	52.7121
ENSCHIG00000000389	6.531643	9.151078	9.7913191
ENSCHIG00000000390	3.06717	4.30629	3.73488
ENSCHIG00000000391	2.6977503	3.313433	3.58231
ENSCHIG00000000392	21.507	18.3254	21.2422
ENSCHIG00000000393	0.0196599	0.0211716	0.0270784
ENSCHIG00000000394	27.3469	36.6643	39.3447
ENSCHIG00000000395	0	0.0486364	0.297711
ENSCHIG00000000396	10.07	13.6168	11.0451
ENSCHIG00000000397	19.147749	25.944361	25.005655
ENSCHIG00000000398	27.93624	30.97081	49.30857
ENSCHIG00000000399	28.114	25.4934	37.4248
ENSCHIG00000000400	0.728188	0.38687	0.713393
ENSCHIG00000000401	0.347371	0.853638	0.287684
ENSCHIG00000000402	0.03785296	0.0683836	0.01745415
ENSCHIG00000000403	4.05021	1.97874	3.95204
ENSCHIG00000000404	7.94547	8.7567	6.13669
ENSCHIG00000000405	86.4917	88.3675	81.6497
ENSCHIG00000000406	0	0	0
ENSCHIG00000000407	252.547	216.328	367.471
ENSCHIG00000000408	0	0	0
ENSCHIG00000000409	5.87029	8.1121	8.13527
ENSCHIG00000000410	27.4369	40.0739	34.7377
ENSCHIG00000000411	3.64277	4.05169	4.71571
ENSCHIG00000000412	0	0	0
ENSCHIG00000000413	9.00118	8.81648	11.8237
ENSCHIG00000000414	8.548401	8.931192	10.4800000755181
ENSCHIG00000000415	4.23451	5.92576	7.3621
ENSCHIG00000000416	409.082	447.538	367.944
ENSCHIG00000000417	31.9743	23.5254	30.0848
ENSCHIG00000000418	0	0	0
ENSCHIG00000000419	0.461356	0.735529	0.89117100467674
ENSCHIG00000000420	3.52411	5.02047	3.58164
ENSCHIG00000000421	36.9916	26.9436	34.4308
ENSCHIG00000000422	17.1291	18.9807	16.6873
ENSCHIG00000000423	1.21758	0.584179	1.1858
ENSCHIG00000000424	0	0	0
ENSCHIG00000000425	0.854712	0.964464	2.06678
ENSCHIG00000000426	291.922	303.758	361.709
ENSCHIG00000000427	5.94124	8.19326	8.48232
ENSCHIG00000000428	64.7204	49.2891	52.4598
ENSCHIG00000000429	27.1811	33.3796	38.854
ENSCHIG00000000430	0	0	0
ENSCHIG00000000431	2.50335	2.65403	3.6207
ENSCHIG00000000432	0	0	0
ENSCHIG00000000433	296.067	359.436	282.375
ENSCHIG00000000434	0.121761	0.0649284	0.0832987
ENSCHIG00000000435	5.49613	6.74431	5.73215
ENSCHIG00000000436	0	0	0
ENSCHIG00000000437	52.8349474	48.6912251	47.710528
ENSCHIG00000000438	12.149812	14.9341306	14.158409
ENSCHIG00000000439	5.91964	6.32873	7.29295
ENSCHIG00000000440	5.12365	6.790986	5.567288
ENSCHIG00000000441	8.10162	10.055	10.4052
ENSCHIG00000000442	0	3.58333	0
ENSCHIG00000000443	1.5601	1.62403	2.40025
ENSCHIG00000000444	0.375356	0.168053	0.433937
ENSCHIG00000000445	68.9063	57.6748	45.1979
ENSCHIG00000000446	13.648	18.13617	14.99009
ENSCHIG00000000447	1.62155	2.50255	2.71212
ENSCHIG00000000448	38.000601	38.37314	40.352611
ENSCHIG00000000449	0	0.102245	0.133461
ENSCHIG00000000450	3.19426	3.64291	4.61763
ENSCHIG00000000451	4.69922	9.1584	9.06524
ENSCHIG00000000452	4.45681	4.79191	5.654143
ENSCHIG00000000453	0	0.105141	0
ENSCHIG00000000454	1.72179	1.82702	2.80662
ENSCHIG00000000455	0.677771	0.545366	1.12611
ENSCHIG00000000456	0.656523	0.0678864	0.351686
ENSCHIG00000000457	12.3494	11.6086	13.8147
ENSCHIG00000000458	0.0400064	0	0
ENSCHIG00000000459	5.28377	6.74803	6.77662
ENSCHIG00000000460	8.17261	10.166	7.68323
ENSCHIG00000000461	58.0781	35.5714	46.1441
ENSCHIG00000000462	746.8027	804.8237	674.6114
ENSCHIG00000000463	14.433	16.4004	13.4341
ENSCHIG00000000464	18.8619	17.727	18.0378
ENSCHIG00000000465	0.40904	0.652222	1.30296
ENSCHIG00000000466	0.318647	0.396339	0.854504
ENSCHIG00000000467	0.0581001	0.0665856	0
ENSCHIG00000000468	3.24996	6.5489	3.73351
ENSCHIG00000000469	21.90178	23.35764	25.09482
ENSCHIG00000000470	0.0614923	0.127606	0
ENSCHIG00000000471	0	0	0
ENSCHIG00000000472	13.09017	23.03337	19.74497
ENSCHIG00000000473	0.0754284	0.232092	0
ENSCHIG00000000474	13.4419	14.1169	16.9085
ENSCHIG00000000475	0	0	0
ENSCHIG00000000476	104.873569	118.728337	111.203686
ENSCHIG00000000477	1.68938	1.58383	2.86442
ENSCHIG00000000478	2.451734	2.873703	3.82345700027062
ENSCHIG00000000479	0	0.668115	0
ENSCHIG00000000480	13.536621	16.91466	12.74604
ENSCHIG00000000481	13.5325	12.4957	14.6455
ENSCHIG00000000482	7.39219	0	0
ENSCHIG00000000483	0.120485	0	0.228831
ENSCHIG00000000484	21.337	20.5565	22.84
ENSCHIG00000000485	0.421744	1.36854	0
ENSCHIG00000000486	58.6218	75.3553	66.6692
ENSCHIG00000000487	7.598175	11.078986	12.186097
ENSCHIG00000000488	5.01592	7.39015	5.02018
ENSCHIG00000000489	8.25088	9.74165	10.0587
ENSCHIG00000000490	13.709	12.8017	19.8646
ENSCHIG00000000491	28.9703	36.3412	32.4179
ENSCHIG00000000492	14.9288	16.1008	15.6559
ENSCHIG00000000493	17.5422	17.9778	19.973
ENSCHIG00000000494	35.2028117017	40.6515	32.7999
ENSCHIG00000000495	1.883917	2.464127	2.306929
ENSCHIG00000000496	61.738	70.05442	57.852622
ENSCHIG00000000497	11.77167	12.16913	12.5244
ENSCHIG00000000498	0.909337	0.905712	1.85298
ENSCHIG00000000499	55.5269	39.4368	44.7376
